track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,gtcrn,23.59682,22.188208,2.767285108566284,3.445161819458008,3.616
track_1,noise,gtcrn,20.968132,23.690372,2.3386263847351074,3.1334292888641357,4.864
track_1,noise,gtcrn,16.125088,20.557438,1.628577470779419,2.6666457653045654,3.792
track_1,noise,gtcrn,19.566328,20.139606,1.7212551832199097,2.5095794200897217,3.184
track_1,noise,gtcrn,20.428894,23.410923,2.935701608657837,3.726252794265747,9.84
track_1,noise,gtcrn,20.211828,13.623657,2.130075693130493,2.6619884967803955,9.76
track_1,noise,gtcrn,20.068665,20.983107,2.207188606262207,2.6239469051361084,5.76
track_1,noise,gtcrn,23.706457,21.468784,2.237624168395996,3.0459144115448,9.952
track_1,noise,gtcrn,16.00965,16.987354,2.042198896408081,2.5734071731567383,9.952
track_1,noise,gtcrn,25.020294,24.17884,2.8647754192352295,3.5983517169952393,9.92
track_1,noise,gtcrn,18.482807,18.085686,1.7639014720916748,2.503937005996704,8.736
track_1,noise,gtcrn,19.52731,17.455166,2.4371426105499268,2.7542457580566406,5.04
track_1,noise,gtcrn,21.014614,25.704916,3.0900845527648926,3.693603515625,9.952
track_1,noise,gtcrn,13.934357,-3.5569386,1.4404945373535156,1.148618221282959,9.76
track_1,noise,gtcrn,15.975141,20.639822,1.5240097045898438,2.6359522342681885,10.0
track_1,noise,gtcrn,13.096062,16.581398,1.337033748626709,2.208433151245117,9.968
track_1,noise,gtcrn,32.717155,28.108002,3.540580987930298,3.7953388690948486,9.936
track_1,noise,gtcrn,22.796005,21.283329,1.9897946119308472,2.2436838150024414,5.92
track_1,noise,gtcrn,19.61373,25.173738,1.4656388759613037,2.970743179321289,9.856
track_1,noise,gtcrn,20.161713,10.2928915,1.6130046844482422,1.8475255966186523,9.984
track_1,noise,gtcrn,24.875359,15.223154,2.538987398147583,2.9749696254730225,9.808
track_1,noise,gtcrn,14.169941,18.024475,1.7872114181518555,2.834455966949463,9.84
track_1,noise,gtcrn,12.716641,14.521026,1.271584391593933,2.1392910480499268,9.904
track_1,noise,gtcrn,16.474134,16.8483,3.484253168106079,3.241297721862793,9.968
track_1,noise,gtcrn,22.218554,10.910023,2.0144612789154053,2.8495781421661377,4.624
track_1,noise,gtcrn,20.95496,23.401318,3.9443399906158447,3.767025947570801,9.984
track_1,noise,gtcrn,18.756622,19.980415,1.5611494779586792,2.576225757598877,9.984
track_1,noise,gtcrn,22.289482,24.271748,2.4638538360595703,3.1819229125976562,9.072
track_1,noise,gtcrn,23.10534,16.168844,2.8297083377838135,3.051722288131714,9.968
track_1,noise,gtcrn,18.525307,10.410536,1.943422794342041,1.854947566986084,9.856
track_1,noise,gtcrn,10.467187,21.804462,1.6663130521774292,2.9209794998168945,9.968
track_1,noise,gtcrn,23.107622,20.973343,2.2247233390808105,2.7990481853485107,9.984
track_1,noise,gtcrn,16.715246,22.03306,1.388413906097412,2.828856945037842,7.136
track_1,noise,gtcrn,28.139112,24.236996,2.829357385635376,3.3644206523895264,9.936
track_1,noise,gtcrn,19.146456,19.720922,1.9033795595169067,2.9988293647766113,9.952
track_1,noise,gtcrn,14.53553,14.360299,1.364506721496582,2.216452121734619,9.968
track_1,noise,gtcrn,29.788416,22.817726,2.301400899887085,2.5377590656280518,5.616
track_1,noise,gtcrn,20.966036,20.287033,2.2559754848480225,3.0873072147369385,5.488
track_1,noise,gtcrn,20.466534,21.109299,2.795682430267334,3.28403377532959,4.688
track_1,noise,gtcrn,13.506748,14.333733,1.1831001043319702,1.6746538877487183,5.072
track_1,noise,gtcrn,23.365894,18.734018,2.0396997928619385,1.997588872909546,7.12
track_1,noise,gtcrn,26.448881,27.47875,2.719449281692505,3.120466709136963,5.568
track_1,noise,gtcrn,12.274448,17.165474,1.5440073013305664,2.231642007827759,6.496
track_1,noise,gtcrn,26.899742,24.207043,3.1892154216766357,3.3325273990631104,9.984
track_1,noise,gtcrn,12.642988,19.417326,1.27675461769104,2.1087825298309326,9.904
track_1,noise,gtcrn,23.066635,25.880194,2.275822162628174,3.118215560913086,9.952
track_1,noise,gtcrn,29.941261,25.430408,2.7190299034118652,3.3528354167938232,9.968
track_1,noise,gtcrn,18.512808,16.282097,2.2714948654174805,2.641453266143799,9.984
track_1,noise,gtcrn,35.689663,26.348892,3.723921537399292,3.557394504547119,9.856
track_1,noise,gtcrn,22.792568,21.221233,2.134310483932495,3.1533162593841553,9.984
track_1,noise,gtcrn,20.49362,24.410212,2.5223355293273926,3.0570571422576904,9.152
track_1,noise,gtcrn,20.399162,22.5784,1.975742220878601,2.9224164485931396,8.864
track_1,noise,gtcrn,14.835398,21.839247,2.786405086517334,4.11501932144165,9.936
track_1,noise,gtcrn,21.742195,16.74418,2.011525869369507,3.0529563426971436,9.984
track_1,noise,gtcrn,21.022776,22.75796,1.7908724546432495,2.512638807296753,5.6
track_1,noise,gtcrn,25.697145,25.417747,2.6996207237243652,3.605478525161743,4.192
