model,file,si_sdr_clean_vs_enh,lsd_clean_vs_enh,dur_s
ulunas,p239_014_mic2-ef90b5103a42-ae1e4d725dc5.wav,25.2969,5.8401,4.315
ulunas,p239_015_mic2-851acef5adbb-52f1ec0950d7.wav,24.9928,5.037,5.079
ulunas,p239_021_mic2-d26c4d967aef-747aadfa6811.wav,22.9623,4.5911,7.956
ulunas,p239_047_mic2-a9f434c481e9-66d321c2b152.wav,21.0546,6.2909,3.801
ulunas,p239_161_mic2-6abdb8dd6273-63908936fdbf.wav,25.0405,5.3431,3.542
ulunas,p239_225_mic2-aadb29466322-5cd710abb0ea.wav,21.0746,5.1679,3.374
ulunas,p239_289_mic2-d51fe18dfa27-bbd1410d52db.wav,20.5665,6.0418,3.414
ulunas,p239_301_mic2-2a9b93bc80dd-ab5ff12680f9.wav,19.1252,6.6583,3.414
ulunas,p239_322_mic2-b9307bbb353e-f51539f3c1b9.wav,22.9651,5.1451,3.244
ulunas,p239_422_mic2-8797f603d0eb-3a9907dc5081.wav,20.7202,5.5121,3.205
ulunas,p239_435_mic2-eec2b8fee5ab-53715bbaf8cd.wav,24.9048,5.6249,3.332
ulunas,p239_454_mic2-c374d3c4f872-df04c928ef7d.wav,24.1888,5.216,3.585
ulunas,p239_467_mic2-5a72e84e51af-8a0517bd3ab1.wav,24.2863,6.407,3.841
ulunas,p239_473_mic2-6c4571e79a77-fa1027334dad.wav,31.3411,5.0335,3.39
ulunas,p240_003_mic2-964b5815953a-c2b37450230d.wav,22.3233,5.5581,7.216
ulunas,p240_006_mic2-77a5036b7c07-f8adcc2ca5b6.wav,25.5375,5.8052,5.539
ulunas,p240_044_mic2-df01b2258ca3-c5111e359d17.wav,21.9395,7.0648,3.926
ulunas,p240_123_mic2-c75f640d39f5-b84169f5a446.wav,24.4927,5.4259,4.497
ulunas,p240_175_mic2-d635382f41f0-056b28079dd8.wav,23.4159,6.3867,4.874
ulunas,p240_179_mic2-0a4222bab7ca-c3f33b5c5568.wav,17.5813,7.6066,4.271
ulunas,p240_262_mic2-eb9c6da9d5cc-35257876963f.wav,21.4917,5.4805,3.672
ulunas,p240_307_mic2-b4799e169aff-c4fa73c3b6fd.wav,21.298,6.0701,3.194
ulunas,p240_358_mic2-1d4840402fb9-03cb78601f18.wav,23.0719,5.1324,4.185
ulunas,p241_002_mic2-1c171aaae17d-ded48ba92fda.wav,29.6764,7.3671,3.752
ulunas,p241_013_mic2-4160874deb9c-dbe3b59c84b9.wav,34.0861,5.2536,4.445
ulunas,p241_021_mic2-6c95c5b0560f-440f88c04dd3.wav,32.9355,4.4949,8.754
ulunas,p241_025_mic2-ef1469218407-34ad9239e3fa.wav,28.6731,4.0927,3.287
ulunas,p241_056_mic2-f8ba17bae249-269419f28007.wav,32.0538,8.9964,3.396
ulunas,p241_068_mic2-783e2ccd9e64-cee14e267a90.wav,23.2718,7.0686,3.084
ulunas,p241_069_mic2-6867f8212990-1a84aea3db6f.wav,27.5331,5.6392,3.266
ulunas,p241_130_mic2-bb16ffc9e5da-7f6de896f3b7.wav,21.7657,5.0583,3.909
ulunas,p241_138_mic2-290a0f261571-dbade4f15432.wav,23.0148,7.5608,3.589
ulunas,p241_190_mic2-ebff56a0d453-825e6142b8e8.wav,33.8157,5.2295,3.979
ulunas,p241_255_mic2-bfea8743873d-4ff59e36fc85.wav,28.3906,6.328,3.055
ulunas,p241_276_mic2-1fee016102bb-65d64cb2f094.wav,22.1765,6.427,3.715
ulunas,p241_293_mic2-d807a85cbc30-5ed95df2c89e.wav,22.8832,5.1238,3.975
ulunas,p243_016_mic2-3d2faa6c5253-46ef956fe623.wav,34.4067,5.3519,7.642
ulunas,p243_026_mic1-82606f527123-5e3dec5f9a46.wav,25.5689,6.265,5.206
ulunas,p243_047_mic2-3ea1dd097a41-f9ac573b2068.wav,34.4936,5.0382,3.628
ulunas,p243_056_mic1-02c5ef02300f-08e7b63216af.wav,28.7172,5.0257,3.375
ulunas,p243_064_mic1-0cc4f7ec4c46-6b18bd2519b4.wav,27.3109,5.0695,3.067
ulunas,p243_066_mic1-b81458667130-0d02620bf44d.wav,32.6321,5.1096,3.239
ulunas,p243_067_mic2-9ad9035e683a-10f9c745ae65.wav,34.6784,5.3345,3.508
ulunas,p243_091_mic2-2e7c1c87ed20-1e0a4191438d.wav,35.1335,7.2135,3.799
ulunas,p243_105_mic2-962a4274fc14-eef7f4bf1d94.wav,29.2522,8.3167,3.335
ulunas,p243_122_mic2-6b03431c7b87-5704c8f65f00.wav,33.5704,6.1809,4.397
ulunas,p243_127_mic1-435f357cb804-3ec72a13a7e6.wav,29.5706,5.4888,4.04
ulunas,p243_129_mic2-c39da770ca1c-d3a143bdf8a1.wav,33.7395,5.7926,3.508
ulunas,p243_130_mic2-7128102e0ba8-161d4641e4c3.wav,33.0876,6.094,3.331
ulunas,p243_140_mic2-49065b5a95cd-e75513633a7c.wav,30.5443,7.8153,3.408
ulunas,p243_153_mic1-a11655ae2fa3-46973c0487ba.wav,24.8886,5.8245,3.21
ulunas,p243_156_mic2-745a7f949838-49fe77ba97dd.wav,36.5217,6.1722,4.235
ulunas,p243_157_mic2-b6760900d3bf-944dc2d12c89.wav,32.3071,7.3679,3.354
ulunas,p243_160_mic2-6d6f754bd504-0c19d04387b7.wav,28.5909,5.4286,3.678
ulunas,p243_169_mic1-f21285f7bc01-7093442b3071.wav,33.2588,5.3521,3.484
ulunas,p243_173_mic1-db74224b5ad7-36e3ffb71b3e.wav,28.821,4.1632,4.057
ulunas,p243_187_mic2-a4328533f208-da52eb162da0.wav,29.0124,6.3186,3.757
ulunas,p243_194_mic2-d9cf4de4afc8-b441cc2811be.wav,29.2417,4.4851,3.894
ulunas,p243_204_mic1-47a2d0481862-bb8d042908ad.wav,32.2747,4.5632,3.371
ulunas,p243_213_mic1-690c464f3986-192abda9b768.wav,30.3099,4.3162,5.123
ulunas,p243_214_mic1-1815bea42a61-c38cbf044c43.wav,30.7737,5.1606,4.007
ulunas,p243_251_mic1-65f4318d12ad-e1787e5c29f7.wav,28.7865,4.0739,3.546
ulunas,p243_264_mic2-66077d584c06-1a21a653115f.wav,28.9885,5.9309,3.409
ulunas,p243_269_mic1-a88aa2075453-ed6e3ccc6f8e.wav,26.4727,6.3094,3.224
ulunas,p243_274_mic1-676216355a15-0ef56b047be2.wav,30.7086,4.5161,5.073
ulunas,p243_276_mic2-de45d41319c4-3455f3f603ef.wav,34.3969,6.3148,4.311
ulunas,p243_278_mic1-79d52fef4fd5-0a4b274e61a1.wav,29.5002,3.9539,3.416
ulunas,p243_280_mic2-6c2426ace46d-78418c70fb74.wav,36.3564,5.5186,3.557
ulunas,p243_298_mic1-9123dfba46a6-b73d3d5bfb8e.wav,31.2284,4.0034,3.412
ulunas,p243_315_mic2-df420298c930-1ce6e5b28ca7.wav,35.2221,6.96,3.034
ulunas,p243_323_mic2-ddada3618b23-7204e145de15.wav,28.8392,6.2846,3.121
ulunas,p243_326_mic1-0a9227e922c0-fb79d1aefd0c.wav,31.5153,4.3491,3.888
ulunas,p243_341_mic1-4f1fbb153d76-8769a68f8fc5.wav,29.2257,7.2246,3.33
ulunas,p243_342_mic2-d1b25b77e41b-e9b28e49b8bc.wav,29.7789,5.8295,3.499
ulunas,p243_344_mic2-708c4fe61c31-f809f883006a.wav,34.5722,4.9262,4.354
ulunas,p243_348_mic2-59ac7849c722-5cc1564a981c.wav,26.9274,6.0916,3.515
ulunas,p243_356_mic2-29101d10104e-dc93b312036f.wav,36.7354,4.4947,4.028
ulunas,p243_372_mic2-2201577490b2-b6c6d72f1041.wav,27.4759,6.7462,3.252
ulunas,p243_380_mic2-1ed27999d72e-8d4ae64fd437.wav,31.6831,7.1168,4.107
ulunas,p243_387_mic2-2ad1ec9ce460-ed22945a75d9.wav,34.1468,5.5222,3.655
ulunas,p243_388_mic1-852138526c97-35be23bd4844.wav,31.3088,5.2793,4.655
ulunas,p243_389_mic2-6cb7bc124b2b-ffbc91cd8d48.wav,33.8846,6.1822,4.054
ulunas,p243_390_mic1-babb4da8c361-ce6960d5595c.wav,29.1352,4.6309,4.146
ulunas,p244_011_mic2-f464d282b827-6324c88c7f98.wav,31.5264,5.8697,6.377
ulunas,p244_029_mic2-852a7bacc44c-3bc2ba246e7c.wav,30.4549,6.8511,3.178
ulunas,p244_071_mic1-21230dd3e35b-8cc229646019.wav,25.7917,4.8212,4.372
ulunas,p244_071_mic2-69f37ea696d3-7a2c965df353.wav,20.9512,6.14,4.372
ulunas,p244_091_mic2-eafa4bd6d6e3-3e311f52a92e.wav,25.8762,6.5867,3.771
ulunas,p244_105_mic2-78a3afdc4e89-2a90722b99e7.wav,25.6324,6.8475,3.107
ulunas,p244_123_mic2-a7500d1e5b4b-639002e54c52.wav,18.3083,6.6763,4.448
ulunas,p244_163_mic2-7be4e5d438d5-8257b5078b1d.wav,31.5069,5.6148,3.127
ulunas,p244_167_mic2-b4a62818cdba-815b703d2c12.wav,27.5716,7.6043,3.532
ulunas,p244_232_mic2-6ae25aba8360-e4ef18b012ac.wav,24.1245,4.9134,3.023
ulunas,p244_313_mic2-219d01864199-df191e8849f3.wav,26.3037,6.3922,3.401
ulunas,p244_379_mic2-05e6e6ac6be1-7bb3c024d6e6.wav,30.0029,6.0025,3.84
ulunas,p244_396_mic2-1aae40216dd2-bcf40fd70358.wav,24.0271,5.3109,3.191
ulunas,p244_410_mic2-7bb75959a914-2259a93190e3.wav,33.4221,5.2477,4.208
ulunas,p246_006_mic2-6e85f57d0ee9-5d350c380278.wav,33.1166,6.2315,6.747
ulunas,p246_024_mic1-ac4b200e6899-c32aff364cf5.wav,32.0336,3.9532,7.546
ulunas,p246_033_mic1-ab632ef79676-8ea76a30beb2.wav,26.8152,5.2615,4.415
ulunas,p246_083_mic1-4becc6c982cf-9ae19c83e154.wav,24.9521,5.8848,3.824
ulunas,p246_126_mic1-fcd492603ef1-31ba85b32028.wav,19.6626,5.0863,3.536
